case,problem,cores,single_makespan,makespan,pick_makespan,speedup,added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,subgraphs,predicted,params,eval_file,solve_seconds,eval_seconds
case_001,1,1,233110,233110,233110,1.0,0,0,,1,233107.73333333334,"('A', 0.25, 16, 2.0)",results/single/case_001_single.json,1.3,0.0
case_001,1,2,233110,116868,116868,1.9946,1152,0,,2,116795.2,"('A', 0.25, 16, 2.0)",results_all/eval/case_001_p1_n2.json,1.1,0.6
case_001,1,3,233110,78545,78545,2.9679,2304,0,,3,78383.2,"('A', 0.25, 16, 2.0)",results_all/eval/case_001_p1_n3.json,1.5,0.6
case_001,1,4,233110,58984,58984,3.9521,3456,0,,4,58770.13333333334,"('A', 0.25, 16, 2.0)",results_all/eval/case_001_p1_n4.json,1.4,0.5
case_001,1,5,233110,47502,47502,4.9074,4608,0,,5,47217.6,"('A', 0.25, 16, 2.0)",results_all/eval/case_001_p1_n5.json,1.7,0.5
case_001,2,1,233110,233110,233110,1.0,0,0,,40,233107.73333333334,"('B', 0.1, 16, 8.0)",results_all/eval/case_001_p2_n1.json,1.1,0.5
case_001,2,2,233110,116868,116868,1.9946,1152,0,,100,116795.2,"('B', 0.1, 16, 8.0)",results_all/eval/case_001_p2_n2.json,1.2,0.5
case_001,2,3,233110,78545,78545,2.9679,2304,0,,200,78383.2,"('B', 0.1, 16, 8.0)",results_all/eval/case_001_p2_n3.json,0.9,0.4
case_001,2,4,233110,58984,58984,3.9521,3456,0,,200,58770.13333333334,"('B', 0.1, 16, 8.0)",results_all/eval/case_001_p2_n4.json,1.1,0.7
case_001,2,5,233110,47502,47502,4.9074,4608,0,,200,47217.6,"('B', 0.1, 16, 8.0)",results_all/eval/case_001_p2_n5.json,1.2,0.4
case_001,3,1,233110,233110,233110,1.0,0,0,0.0,40,233107.73333333334,"('C', 0.1, 64, 4.0)",results_all/eval/case_001_p3_n1.json,1.0,0.5
case_001,3,2,233110,116868,116868,1.9946,1152,0,0.0,100,116795.2,"('C', 0.1, 64, 4.0)",results_all/eval/case_001_p3_n2.json,1.3,0.5
case_001,3,3,233110,78545,78545,2.9679,2304,0,0.0,200,78383.2,"('C', 0.1, 64, 4.0)",results_all/eval/case_001_p3_n3.json,1.0,0.5
case_001,3,4,233110,58984,58984,3.9521,3456,0,0.0,200,58770.13333333334,"('C', 0.1, 64, 4.0)",results_all/eval/case_001_p3_n4.json,1.4,0.7
case_001,3,5,233110,47502,47502,4.9074,4608,0,0.0,200,47217.6,"('C', 0.1, 64, 4.0)",results_all/eval/case_001_p3_n5.json,1.0,0.4
case_002,1,1,261945,261945,261945,1.0,0,0,,1,261944.0,"('A', 1.0, 16, 2.0)",results/single/case_002_single.json,2.2,0.0
case_002,1,2,261945,139717,139717,1.8748,1476096,0,,6,138078.4,"('A', 1.0, 64, 8.0)",results_all/eval/case_002_p1_n2.json,2.7,1.9
case_002,1,3,261945,93924,93924,2.7889,407040,0,,4,94053.60000000002,"('A', 0.25, 16, 2.0)",results_all/eval/case_002_p1_n3.json,2.6,1.5
case_002,1,4,261945,75482,75482,3.4703,591360,0,,10,73820.80000000002,"('A', 0.25, 16, 2.0)",results_all/eval/case_002_p1_n4.json,2.6,1.7
case_002,1,5,261945,64123,64123,4.085,1227264,0,,26,60581.6,"('A', 0.1, 16, 2.0, 4)",results_all/eval/case_002_p1_n5.json,3.2,1.6
case_002,2,1,261945,261945,261945,1.0,0,0,,1,261944.0,"('B', 1.0, 64, 0.0)",results_all/eval/case_002_p2_n1.json,2.2,0.9
case_002,2,2,261945,136708,136708,1.9161,486912,0,,121,136885.6,"('B', 1.0, 64, 0.0)",results_all/eval/case_002_p2_n2.json,2.3,1.1
case_002,2,3,261945,92423,92423,2.8342,274944,0,,132,92420.8,"('B', 0.1, 16, 1.0)",results_all/eval/case_002_p2_n3.json,2.3,1.2
case_002,2,4,261945,71820,71820,3.6472,439296,0,,123,71914.40000000001,"('B', 0.1, 16, 8.0)",results_all/eval/case_002_p2_n4.json,2.4,1.1
case_002,2,5,261945,57102,57102,4.5873,635904,0,,294,57127.2,"('B', 0.1, 64, 8.0)",results_all/eval/case_002_p2_n5.json,2.3,1.1
case_002,3,1,261945,261945,261945,1.0,0,0,0.0,1,261944.0,"('C', 1.0, 64, 0.0)",results_all/eval/case_002_p3_n1.json,2.2,1.0
case_002,3,2,261945,136708,136708,1.9161,486912,0,0.1396702230843841,121,136885.6,"('C', 0.1, 64, 2.0)",results_all/eval/case_002_p3_n2.json,2.8,1.2
case_002,3,3,261945,92423,92423,2.8342,274944,0,0.0033821871476888386,132,92420.8,"('C', 0.1, 16, 1.0)",results_all/eval/case_002_p3_n3.json,2.4,1.3
case_002,3,4,261945,71820,71820,3.6472,439296,0,0.09146341463414634,123,71534.40000000001,"('C', 0.1, 16, 1.0)",results_all/eval/case_002_p3_n4.json,3.6,1.2
case_002,3,5,261945,57102,57490,4.5873,635904,0,0.014354066985645933,294,57127.2,p2_plan,results_all/eval/case_002_p3_n5.json,3.0,2.7
case_003,1,1,602212,602212,602212,1.0,0,0,,1,584185.3666666666,"('A', 0.25, 16, 2.0, None, 'blc')",results/single/case_003_single.json,19.7,0.0
case_003,1,2,602212,377133,377133,1.5968,6329780,0,,135,354107.36666666646,"('A', 0.1, 16, 2.0, 8)",results_all/eval/case_003_p1_n2.json,24.3,13.3
case_003,1,3,602212,294849,294849,2.0424,6831190,0,,243,274464.66666666674,"('A', 1.0, 64, 8.0)",results_all/eval/case_003_p1_n3.json,25.0,14.8
case_003,1,4,602212,242434,242434,2.484,7627566,0,,366,217854.0333333333,"('A', 0.25, 16, 2.0, 16)",results_all/eval/case_003_p1_n4.json,27.1,18.0
case_003,1,5,602212,221763,221763,2.7156,8334124,0,,450,193775.4999999999,"('A', 0.25, 16, 2.0, 16, 'blc')",results_all/eval/case_003_p1_n5.json,33.8,27.4
case_003,2,1,602212,584033,584033,1.0,0,0,,42,584185.3666666666,"('B', 0.1, 16, 8.0, None, 'blc')",results_all/eval/case_003_p2_n1.json,26.1,16.9
case_003,2,2,602212,300776,300776,2.0022,2382918,0,,2504,288241.3,"('B', 1.0, 16, 4.0)",results_all/eval/case_003_p2_n2.json,27.4,20.2
case_003,2,3,602212,209759,209759,2.871,4192460,0,,3222,194575.09999999998,"('B', 0.1, 64, 2.0, None, 'blc')",results_all/eval/case_003_p2_n3.json,23.8,14.3
case_003,2,4,602212,172957,172957,3.4819,5713426,0,,3559,149410.50000000012,"('B', 0.1, 64, 2.0)",results_all/eval/case_003_p2_n4.json,23.4,13.4
case_003,2,5,602212,156285,156285,3.8533,5256152,0,,3365,131032.43333333336,"('B', 1.0, 16, 4.0)",results_all/eval/case_003_p2_n5.json,26.5,12.6
case_003,3,1,602212,584033,584033,1.0,0,0,0.0,42,584185.3666666666,"('C', 0.1, 64, 4.0, None, 'blc')",results_all/eval/case_003_p3_n1.json,22.5,14.3
case_003,3,2,602212,297415,297415,2.0248,2272390,0,0.1590157213888357,2494,287024.9,"('C', 0.25, 16, 8.0)",results_all/eval/case_003_p3_n2.json,23.7,13.9
case_003,3,3,602212,206511,206511,2.9161,3937996,0,0.30432345424888413,3070,193944.1853333334,"('C', 0.1, 64, 4.0)",results_all/eval/case_003_p3_n3.json,25.3,14.2
case_003,3,4,602212,166180,166180,3.6239,6115730,0,0.3785765103644757,3533,147665.2173333334,"('C', 0.1, 64, 2.0)",results_all/eval/case_003_p3_n4.json,27.2,15.5
case_003,3,5,602212,151373,151373,3.9783,6433112,0,0.3847930658803283,4084,125659.548,"('C', 0.1, 64, 4.0)",results_all/eval/case_003_p3_n5.json,29.0,14.6
case_004,1,1,392357,392357,392357,1.0,0,0,,1,392354.8,"('A', 0.25, 16, 2.0)",results/single/case_004_single.json,1.6,0.0
case_004,1,2,392357,199074,199074,1.9709,110592,0,,2,198314.80000000002,"('A', 0.25, 16, 2.0)",results_all/eval/case_004_p1_n2.json,1.4,0.7
case_004,1,3,392357,137467,137467,2.8542,221184,0,,3,134810.80000000002,"('A', 0.25, 16, 2.0)",results_all/eval/case_004_p1_n3.json,1.6,0.6
case_004,1,4,392357,107612,107612,3.646,331776,0,,4,103058.8,"('A', 0.25, 16, 2.0)",results_all/eval/case_004_p1_n4.json,1.4,0.6
case_004,1,5,392357,88393,88393,4.4388,442368,0,,5,84255.59999999999,"('A', 1.0, 16, 0.0)",results_all/eval/case_004_p1_n5.json,1.7,0.6
case_004,2,1,392357,392357,392357,1.0,0,0,,56,392354.8,"('B', 0.1, 16, 8.0)",results_all/eval/case_004_p2_n1.json,1.2,0.5
case_004,2,2,392357,199074,199074,1.9709,110592,0,,111,198314.80000000002,"('B', 0.1, 16, 8.0)",results_all/eval/case_004_p2_n2.json,1.0,0.5
case_004,2,3,392357,137467,137467,2.8542,221184,0,,111,134810.80000000002,"('B', 0.1, 16, 8.0)",results_all/eval/case_004_p2_n3.json,1.0,0.5
case_004,2,4,392357,107612,107612,3.646,331776,0,,111,103058.8,"('B', 0.1, 16, 8.0)",results_all/eval/case_004_p2_n4.json,1.2,0.7
case_004,2,5,392357,88393,88393,4.4388,442368,0,,111,84255.59999999999,"('B', 1.0, 64, 0.0)",results_all/eval/case_004_p2_n5.json,1.1,0.4
case_004,3,1,392357,392357,392357,1.0,0,0,0.0,56,392354.8,"('C', 0.1, 64, 4.0)",results_all/eval/case_004_p3_n1.json,1.2,0.7
case_004,3,2,392357,199074,199074,1.9709,110592,0,0.0,111,198314.80000000002,"('C', 0.1, 64, 4.0)",results_all/eval/case_004_p3_n2.json,1.2,0.5
case_004,3,3,392357,134043,134043,2.9271,221184,0,0.0,111,133842.80000000002,"('C', 0.1, 16, 1.0)",results_all/eval/case_004_p3_n3.json,1.1,0.5
